County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Jackson County  6,10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.8 
Greene County  6,41,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.5 
Fayette County  6,12,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,451.6 
Jefferson County  6,1351,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,449.8 
Marengo County  6,54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,449.2 
Conecuh County  6,32,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,448.4 
Montgomery County  6,549,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,447.0 
Calhoun County  6,108,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,446.1 
Shelby County  6,89,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,443.1 
Mobile County  6,672,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,443.0 
Houston County  6,121,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.4 
St. Clair County  6,36,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.1 
Crenshaw County  6,18,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.0 
Limestone County  6,60,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,441.7 
Baldwin County  6,83,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,438.8 
Monroe County  6,46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,437.9 
Colbert County  6,50,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,432.6 
Perry County  6,31,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,432.4 
Pike County  6,47,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,428.8 
Etowah County  6,72,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,425.1 
Escambia County  6,54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,422.0 
Butler County  6,42,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,420.6 
Chilton County  6,19,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,417.8 
Lee County  6,132,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,412.9 
Talladega County  6,113,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,412.0 
Coffee County  6,40,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,408.3 
Geneva County  6,13,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,405.0 
Clay County  6,10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,404.2 
Coosa County  6,18,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,402.6 
Madison County  6,323,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,399.9 
Randolph County  6,20,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,396.7 
DeKalb County  6,5,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,387.7 
Hale County  6,41,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,384.1 
Barbour County  6,52,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,374.9 
Blount County  6,4,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,356.1 
Cherokee County  6,6,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,354.4 
Russell County  6,91,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,351.0 
Franklin County  6,5,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,269.0 
Escambia County  6,7,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,436.6 
Jefferson County  6,4,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,185.2 
Baldwin County  6,5,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,172.6 
Mobile County  6,5,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,113.0 
Madison County  6,3,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,87.3 
Etowah County  6,3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,555.1 
