placeDcid,placeName,Median_Income_Person
geoId/17039,"DeWitt County, IL",31261
geoId/17041,"Douglas County, IL",30706
geoId/17043,"DuPage County, IL",43245
geoId/17045,"Edgar County, IL",27443
geoId/17047,"Edwards County, IL",30488
geoId/17049,"Effingham County, IL",31375
geoId/17051,"Fayette County, IL",24925
geoId/17053,"Ford County, IL",30420
geoId/17055,"Franklin County, IL",23978
geoId/17057,"Fulton County, IL",28109
geoId/17059,"Gallatin County, IL",27145
geoId/17061,"Greene County, IL",27248
geoId/17063,"Grundy County, IL",40051
geoId/17065,"Hamilton County, IL",29603
geoId/17067,"Hancock County, IL",30245
geoId/17069,"Hardin County, IL",24543
geoId/17071,"Henderson County, IL",29453
geoId/17073,"Henry County, IL",31448
geoId/17075,"Iroquois County, IL",27197
geoId/17077,"Jackson County, IL",23224
geoId/17079,"Jasper County, IL",28002
geoId/17081,"Jefferson County, IL",28290
geoId/17083,"Jersey County, IL",32675
geoId/17085,"Jo Daviess County, IL",31793
geoId/17087,"Johnson County, IL",29502
geoId/17089,"Kane County, IL",35433
geoId/17091,"Kankakee County, IL",29164
geoId/17093,"Kendall County, IL",42266
geoId/17095,"Knox County, IL",25432
geoId/17097,"Lake County, IL",38923
geoId/17099,"LaSalle County, IL",31078
geoId/17101,"Lawrence County, IL",27404
geoId/17103,"Lee County, IL",31563
geoId/17105,"Livingston County, IL",31186
geoId/17107,"Logan County, IL",31358
geoId/17109,"McDonough County, IL",21583
geoId/17111,"McHenry County, IL",40383
geoId/17113,"McLean County, IL",34713
geoId/17115,"Macon County, IL",30147
geoId/17117,"Macoupin County, IL",29242
geoId/17119,"Madison County, IL",33122
geoId/17121,"Marion County, IL",27968
geoId/17123,"Marshall County, IL",29963
geoId/17125,"Mason County, IL",27891
geoId/17127,"Massac County, IL",24547
geoId/17129,"Menard County, IL",41068
geoId/17131,"Mercer County, IL",31169
geoId/17133,"Monroe County, IL",42899
geoId/17135,"Montgomery County, IL",29000
geoId/17137,"Morgan County, IL",28341
geoId/17139,"Moultrie County, IL",33638
geoId/17141,"Ogle County, IL",32094
geoId/17143,"Peoria County, IL",30847
geoId/17145,"Perry County, IL",29118
geoId/17147,"Piatt County, IL",37571
geoId/17149,"Pike County, IL",27095
geoId/17151,"Pope County, IL",24922
geoId/17153,"Pulaski County, IL",22753
geoId/17155,"Putnam County, IL",32649
geoId/17157,"Randolph County, IL",30458
geoId/17159,"Richland County, IL",29761
geoId/17161,"Rock Island County, IL",31381
geoId/17163,"St. Clair County, IL",31199
geoId/17165,"Saline County, IL",26051
geoId/17167,"Sangamon County, IL",35497
geoId/17169,"Schuyler County, IL",29844
geoId/17171,"Scott County, IL",31773
geoId/17173,"Shelby County, IL",31230
geoId/17175,"Stark County, IL",29952
geoId/17177,"Stephenson County, IL",28609
geoId/17179,"Tazewell County, IL",35587
