average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
31,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,273.2 ,-0.2 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,AL,23014,24216,25700,25385,30998
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,885.1 ",-0.4 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373,AL,23014,24216,25700,25385,30998
67,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.2 ,1.8 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
442,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,404.5 ",-0.3 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
237,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.6 ,2.2 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
273,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,991.7 ",-0.5 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.0 ,0.0 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
273,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,475.7 ",0.6 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
153,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,269.9 ,1.0 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
162,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,044.2 ",0.1 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.0 ,1.4 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
