average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
275,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.0,"Baldwin County, AL",,202939,207601,212521,217855,223234,52387,56460,56607,57588,59871
211,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.5,"Baldwin County, AL",,202939,207601,212521,217855,223234,52387,56460,56607,57588,59871
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,191.1,"Pickens County, AL",58.0,20776,20325,20204,19980,19930,33160,35968,38379,37586,40249
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.8,"Pickens County, AL",58.0,20776,20325,20204,19980,19930,33160,35968,38379,37586,40249
95,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,190.0,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,55060,52181,57342,64863,64729
70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,113.3,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,55060,52181,57342,64863,64729
19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,188.0,"Cleburne County, AL",61.0,14914,14848,14899,15010,14910,42136,43483,45480,46495,51276
13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.9,"Cleburne County, AL",61.0,14914,14848,14899,15010,14910,42136,43483,45480,46495,51276
337,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,180.9,"Madison County, AL",56.0,352977,356729,361762,367004,372909,59117,61193,62750,63755,68609
309,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.8,"Madison County, AL",56.0,352977,356729,361762,367004,372909,59117,61193,62750,63755,68609
10,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,176.6,"Greene County, AL",56.0,8508,8482,8310,8209,8111,25398,26559,28108,28524,28699
10,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4,"Greene County, AL",56.0,8508,8482,8310,8209,8111,25398,26559,28108,28524,28699
169,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.5,"Shelby County, AL",49.0,208959,211282,213633,215583,217702,70879,74212,74098,75663,77801
142,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.6,"Shelby County, AL",49.0,208959,211282,213633,215583,217702,70879,74212,74098,75663,77801
437,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.2,"Mohave County, AZ",52.42857143,204574,205412,207017,209292,212181,40360,42003,42210,45129,49712
319,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.8,"Mohave County, AZ",52.42857143,204574,205412,207017,209292,212181,40360,42003,42210,45129,49712
170,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,182.3,"Cochise County, AZ",58.0,126454,125686,124864,126411,125922,43451,45151,48966,49164,48650
128,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.4,"Cochise County, AZ",58.0,126454,125686,124864,126411,125922,43451,45151,48966,49164,48650
393,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,178.5,"Yavapai County, AZ",56.0,220805,224575,228082,231772,235099,47220,49824,49860,48758,54242
305,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.7,"Yavapai County, AZ",56.0,220805,224575,228082,231772,235099,47220,49824,49860,48758,54242
82,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,167.7,"Gila County, AZ",50.0,52978,53356,53578,53801,54018,41346,40747,38897,43585,45980
64,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.2,"Gila County, AZ",50.0,52978,53356,53578,53801,54018,41346,40747,38897,43585,45980
1075,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,164.4,"Pima County, AZ",56.5,1009103,1016707,1026391,1036554,1047279,47107,47644,51392,53395,56150
885,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.4,"Pima County, AZ",56.5,1009103,1016707,1026391,1036554,1047279,47107,47644,51392,53395,56150
101,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,159.0,"Navajo County, AZ",38.0,107638,108467,109079,110242,110924,37658,37440,40883,40650,40676
79,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.5,"Navajo County, AZ",38.0,107638,108467,109079,110242,110924,37658,37440,40883,40650,40676
3475,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,156.6,"Maricopa County, AZ",56.125,4172905,4256143,4327184,4402403,4485414,56017,58742,62221,65234,68634
3063,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.3,"Maricopa County, AZ",56.125,4172905,4256143,4327184,4402403,4485414,56017,58742,62221,65234,68634
36,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,152.4,"La Paz County, AZ",50.0,20466,20648,20706,21039,21108,34835,34285,36389,37350,39407
25,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.3,"La Paz County, AZ",50.0,20466,20648,20706,21039,21108,34835,34285,36389,37350,39407
7,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,150.0,"Greenlee County, AZ",61.0,9577,9643,9443,9448,9498,58854,61110,63557,65818,68066
5,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.0,"Greenlee County, AZ",61.0,9577,9643,9443,9448,9498,58854,61110,63557,65818,68066
27,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.9,"Graham County, AZ",61.0,37860,37807,37481,37995,38837,44169,46714,46378,50157,50685
26,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.2,"Graham County, AZ",61.0,37860,37807,37481,37995,38837,44169,46714,46378,50157,50685
38,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,143.9,"Santa Cruz County, AZ",61.0,46542,46400,46566,46395,46498,34893,39090,39265,40545,47779
29,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,90.1,"Santa Cruz County, AZ",61.0,46542,46400,46566,46395,46498,34893,39090,39265,40545,47779
51,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,140.2,"Apache County, AZ",35.0,71012,71381,71545,71731,71887,31072,34040,33053,33652,35386
