average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
208,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
71,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,567.6 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
192,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,454.9 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
190,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,456.1 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
7,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,486.7 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
430,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,454.0 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,263.6 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
425,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
60,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,441.7 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
4,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,328.5 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
7,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,319.3 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
1200,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,453.0 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,188.7 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
1191,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
83,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,438.8 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
5,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,172.6 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
