Age-Adjusted Death Rate,Age-Adjusted Incidence Rate,County,Primary_State_Name
191.5,496.5,Hawkins County, Tennessee
191.5,531.3,Franklin County, Illinois
191.4,475.7,Nolan County, Texas
191.4,468.6,Copiah County, Mississippi
191.3,496.5,Webster Parish, Louisiana
191.3,529.6,Pike County, Illinois
191.3,505.6,Ouachita Parish, Louisiana
191.3,* ,Wilson County, Kansas
191.2,473.4,Hill County, Texas
191.1,442.3,Brantley County, Georgia
191,527.9,Marshall County, Kentucky
191,482.3,Richmond County, Georgia
190.9,502.2,Rowan County, Kentucky
190.9,* ,Franklin County, Kansas
190.8,431.2,Robeson County, North Carolina
190.8,* ,Grant County, Kansas
190.7,478,Jackson Parish, Louisiana
190.7,400.4,Lincoln County, Arkansas
190.6,478.9,Union County, Tennessee
190.5,* ,Decatur County, Kansas
190.5,508.1,Evangeline Parish, Louisiana
190.5,430.2,Livingston County, Missouri
190.5,457.2,Mercer County, Missouri
190.4,466.9,Warren County, Tennessee
190.3,561.4,Clay County, Illinois
190.3,529.4,Northampton County, Virginia
190.3,472.9,Coffee County, Tennessee
190.2,405.1,Schoolcraft County, Michigan
190.1,* ,Clark County, Kansas
190.1,489.2,Jefferson County, Ohio
190.1,529.4,Wicomico County, Maryland
190.1,550.5,Barren County, Kentucky
190,468.9,Pawnee County, Oklahoma
190,486.4,Ashland County, Wisconsin
190,454.5,Fulton County, Pennsylvania
190,483.7,Union County, Indiana
190,456.4,Franklin County, Florida
189.9,497.5,Starke County, Indiana
189.9,453,Wayne County, Missouri
189.8,518.4,Barrow County, Georgia
189.8,457.6,Johnson County, Arkansas
189.7,498.3,Forrest County, Mississippi
189.7,456.3,Covington County, Alabama
189.7,556.9,Montgomery County, Iowa
189.7,491,Highland County, Ohio
189.7,* ,Bourbon County, Kansas
189.7,424.1,Greene County, Indiana
189.6,452.7,Ray County, Missouri
189.6,489.5,Boyd County, Nebraska
189.6,506.7,La Salle County, Illinois
189.5,485.8,Humphreys County, Mississippi
189.5,465.5,Wayne County, Kentucky
189.5,427.5,Scott County, Arkansas
189.5,* ,Osborne County, Kansas
189.5,472.2,Casey County, Kentucky
189.4,444.3,Dewey County, South Dakota
189.4,522.9,Lonoke County, Arkansas
