County_State,Abbrv,Median Household Income 2015,Median Household Income 2016,Median Household Income 2017,Median Household Income 2018,Median Household Income 2019
"Bibb County, GA",GA,38870,38115,39047,41390,43066
"Bleckley County, GA",GA,42716,41447,44262,46019,48115
"Brantley County, GA",GA,37709,37675,40906,41874,44680
"Brooks County, GA",GA,36820,33676,36030,36354,39554
"Bryan County, GA",GA,69650,77244,73877,79658,79296
"Bulloch County, GA",GA,36544,42083,42068,43766,48788
"Burke County, GA",GA,36977,37410,41863,42785,42632
"Butts County, GA",GA,44166,46141,46062,48831,47410
"Calhoun County, GA",GA,30972,33478,33889,33393,34960
"Camden County, GA",GA,52706,53130,53582,56555,58552
"Candler County, GA",GA,32806,32970,33846,35841,41665
"Carroll County, GA",GA,45453,50598,51388,52502,59193
"Catoosa County, GA",GA,50979,53740,53833,55807,60753
"Charlton County, GA",GA,37037,38948,40636,40499,42891
"Chatham County, GA",GA,48885,52746,54667,54165,57122
"Chattahoochee County, GA",GA,41066,44097,44439,46869,46106
"Chattooga County, GA",GA,38063,37345,39325,39513,41561
"Cherokee County, GA",GA,74885,78668,78247,82733,88635
"Clarke County, GA",GA,33302,36692,39901,42112,41036
"Clay County, GA",GA,25941,27648,29122,30239,24732
"Clayton County, GA",GA,41731,44598,44757,46059,50737
"Clinch County, GA",GA,31848,34777,37174,37593,42928
"Cobb County, GA",GA,70097,70950,75485,78603,79622
"Coffee County, GA",GA,34775,38704,39408,39480,41675
"Colquitt County, GA",GA,34151,34931,36651,38633,41899
"Columbia County, GA",GA,75232,74908,75832,82184,88285
"Cook County, GA",GA,34505,35518,36463,38827,40670
"Coweta County, GA",GA,67268,71114,73296,70974,79232
"Crawford County, GA",GA,43559,44014,47422,48004,50411
"Crisp County, GA",GA,31095,34211,34754,36096,40482
"Dade County, GA",GA,43632,36213,45053,48779,45986
"Dawson County, GA",GA,60195,61229,64930,68835,69155
"Decatur County, GA",GA,37661,36136,37835,38441,40473
"DeKalb County, GA",GA,53994,56053,61496,63477,63606
"Dodge County, GA",GA,34611,35779,36067,35636,41118
"Dooly County, GA",GA,32323,40591,35781,37278,37109
"Dougherty County, GA",GA,34799,35750,36994,38806,36894
"Douglas County, GA",GA,58443,59665,60177,60512,62915
"Early County, GA",GA,31935,26934,32490,34984,40011
"Echols County, GA",GA,34414,35892,36559,38667,40408
"Effingham County, GA",GA,63255,63776,68109,65793,71628
"Elbert County, GA",GA,35814,37131,35452,39681,40962
"Emanuel County, GA",GA,31772,32495,33551,37574,38529
"Evans County, GA",GA,34085,34689,34464,37319,41425
"Fannin County, GA",GA,39796,41487,42986,43439,47980
"Fayette County, GA",GA,80588,83145,87831,95021,94563
"Floyd County, GA",GA,41130,46634,45979,44906,50520
"Forsyth County, GA",GA,97886,101804,103083,105921,113332
"Franklin County, GA",GA,40156,41543,42703,42904,47691
"Fulton County, GA",GA,59911,62824,64901,70808,79235
"Gilmer County, GA",GA,43907,46332,46200,47757,57007
"Glascock County, GA",GA,40732,41412,43529,42820,49350
"Glynn County, GA",GA,46377,48691,50740,53906,58017
"Gordon County, GA",GA,44580,45705,46868,49101,53373
"Grady County, GA",GA,36486,40234,41095,41002,42603
"Greene County, GA",GA,43326,47194,50736,54016,60973
"Gwinnett County, GA",GA,61797,67197,68957,72008,72225
"Habersham County, GA",GA,44400,46828,49292,51829,51296
"Hall County, GA",GA,54578,55308,61320,61631,66698
"Hancock County, GA",GA,28328,30616,31247,31716,31715
"Haralson County, GA",GA,41167,43196,45167,47662,49020
"Harris County, GA",GA,65887,70724,72811,74686,74052
"Hart County, GA",GA,39567,41247,44603,47171,50647
"Heard County, GA",GA,41514,41994,44575,46218,48984
"Henry County, GA",GA,65437,67150,67493,72970,72927
"Houston County, GA",GA,55860,61795,59291,60728,65641
"Irwin County, GA",GA,35284,35866,38511,38156,42317
"Jackson County, GA",GA,56102,55426,63422,68984,66645
"Jasper County, GA",GA,46398,48473,50234,51241,59207
"Jeff Davis County, GA",GA,36186,35538,36786,37211,40603
"Jefferson County, GA",GA,32023,33680,35201,38274,35379
"Jenkins County, GA",GA,29924,30611,32472,31419,32808
"Johnson County, GA",GA,30794,32201,35243,34849,37771
"Jones County, GA",GA,52777,54155,56039,55737,56819
"Lamar County, GA",GA,42177,44575,41060,48323,57402
"Lanier County, GA",GA,37616,35690,39165,41564,42667
"Laurens County, GA",GA,36960,39037,38078,42114,42018
"Lee County, GA",GA,68636,62972,68891,66090,72425
"Liberty County, GA",GA,39612,44154,45655,47685,51410
"Lincoln County, GA",GA,39089,41494,44819,46967,45299
"Long County, GA",GA,42542,44542,48328,46428,52051
"Lowndes County, GA",GA,37699,41331,42019,41820,46450
"Lumpkin County, GA",GA,48101,47287,55453,55583,57078
"McDuffie County, GA",GA,36346,39642,40814,42768,44473
"McIntosh County, GA",GA,38770,40788,40832,42513,46682
