average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,948.0 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,AL,47234,46843,49274,52797,54355
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
245,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.0 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
77,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.5 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
180,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,980.3 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,AL,42145,40972,41791,44903,43047
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.5 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.8 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.3 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,AL,34977,36386,38049,37887,44675
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
410,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.6 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
138,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.6 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
298,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,935.4 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
256,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,603.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.0 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.9 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
188,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,619.6 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,006.5 ","Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.7 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
181,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,592.4 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.3 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
130,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,978.9 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,AL,53558,57856,52755,57284,65403
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.6 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,AL,42767,44188,46405,47547,49692
90,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,574.5 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,AL,42767,44188,46405,47547,49692
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.1 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,AL,42767,44188,46405,47547,49692
66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,953.9 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,AL,42767,44188,46405,47547,49692
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.4 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
99,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,536.1 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
72,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,889.0 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.3 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
91,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,651.1 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.1 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,988.4 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.6 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
123,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,685.3 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
44,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.3 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,119.9 ","Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.4 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826,AL,50487,47213,48253,50412,52902
135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,613.6 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826,AL,50487,47213,48253,50412,52902
42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.8 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826,AL,50487,47213,48253,50412,52902
100,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,000.5 ","Blount County, AL",56.0,57526,57494,57787,57771,57826,AL,50487,47213,48253,50412,52902
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.3 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,AL,43008,44124,46646,48707,48188
