County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Nevada County  6,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.7 
Logan County  6,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.0 
Baxter County  6,202,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,519.1 
Stone County  6,55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,517.6 
Calhoun County  6,19,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,515.0 
Crittenden County  6,123,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,512.4 
Lee County  6,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,511.8 
Franklin County  6,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,511.7 
Sebastian County  6,349,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,509.2 
Marion County  6,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.8 
Crawford County  6,184,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.2 
Washington County  6,492,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,505.3 
Boone County  6,129,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.7 
Conway County  6,69,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.9 
Searcy County  6,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.8 
Madison County  6,53,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,498.8 
St. Francis County  6,78,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,494.8 
Johnson County  6,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,494.1 
Carroll County  6,104,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,492.3 
Little River County  6,41,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,486.8 
Fulton County  6,49,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,485.1 
Benton County  6,587,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,472.3 
Scott County  6,35,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,468.8 
Lincoln County  6,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,463.9 
Columbia County  6,61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,461.9 
Montgomery County  6,35,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,456.7 
Yell County  6,61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,455.7 
Miller County  6,111,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,453.3 
Hempstead County  6,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,437.4 
Izard County  6,50,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,432.9 
Lafayette County  6,23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,429.5 
Howard County  6,34,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,420.2 
Sevier County  6,35,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,394.1 
Newton County  6,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,365.4 
Woodruff County  6,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,573.6 
Lawrence County  6,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,514.5 
Clay County  6,57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,505.1 
Calhoun County  6,19,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,501.4 
Searcy County  6,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,490.8 
Poinsett County  6,81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,487.3 
Cross County  6,55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,487.0 
Randolph County  6,61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,486.7 
Sharp County  6,65,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,480.0 
Lee County  6,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,473.7 
White County  6,229,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.7 
Van Buren County  6,63,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.8 
Bradley County  6,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.8 
